"","price","bedrooms","bathrooms","sqft_living","sqft_lot","floors","waterfront","view","condition","grade","sqft_above","sqft_basement","sqft_living15","sqft_lot15","Age","Renovated"
"1",231300,2,1,1180,5650,1,0,0,3,7,1180,0,1340,5650,69,0
"2",538000,3,2.25,2570,7242,2,0,0,3,7,2170,400,1690,7639,73,1
"3",180000,2,1,770,10000,1,0,0,3,6,770,0,2720,8062,91,0
"4",604000,4,3,1960,5000,1,0,0,5,7,1050,910,1360,5000,59,0
"5",510000,3,2,1680,8080,1,0,0,3,8,1680,0,1800,7503,37,0
"6",1225000,4,4.5,5420,101930,1,0,0,3,11,3890,1530,4760,101930,23,0
"7",257500,3,2.25,1715,6819,2,0,0,3,7,1715,0,2238,6819,29,0
"8",291850,3,1.5,1060,9711,1,0,0,3,7,1060,0,1650,9711,61,0
"9",229500,3,1,1780,7470,1,0,0,3,7,1050,730,1780,8113,64,0
"10",323000,3,2.5,1890,6560,2,0,0,3,7,1890,0,2390,7570,21,0
"11",662500,3,2.5,3560,9796,1,0,0,3,8,1860,1700,2210,8925,59,0
"12",468000,2,1,1160,6000,1,0,0,4,7,860,300,1330,6000,82,0
"13",310000,3,1,1430,19901,1.5,0,0,4,7,1430,0,1780,12697,97,0
"14",4e+05,3,1.75,1370,9680,1,0,0,4,7,1370,0,1370,10208,47,0
"15",530000,5,2,1810,4850,1.5,0,0,3,7,1810,0,1360,4850,124,0
"16",650000,4,3,2950,5000,2,0,3,3,9,1980,970,2140,4000,45,0
"17",395000,3,2,1890,14040,2,0,0,3,7,1890,0,1890,14018,30,0
"18",485000,4,1,1600,4300,1.5,0,0,4,7,1600,0,1610,4300,108,0
"19",189000,2,1,1200,9850,1,0,0,4,7,1200,0,1060,5095,103,0
"20",230000,3,1,1250,9774,1,0,0,4,7,1250,0,1280,8850,55,0
"21",385000,4,1.75,1620,4980,1,0,0,4,7,860,760,1400,4980,77,0
"22",2e+06,3,2.75,3050,44867,1,0,4,3,9,2330,720,4110,20336,56,0
"23",285000,5,2.5,2270,6300,2,0,0,3,8,2270,0,2240,7005,29,0
"24",252700,2,1.5,1070,9643,1,0,0,3,7,1070,0,1220,8386,39,0
"25",329000,3,2.25,2450,6500,2,0,0,4,8,2450,0,2200,6865,39,0
"26",233000,3,2,1710,4697,1.5,0,0,5,6,1710,0,1030,4705,83,0
"27",937000,3,1.75,2450,2691,2,0,0,3,8,1750,700,1760,3573,109,0
"28",667000,3,1,1400,1581,1.5,0,0,5,8,1400,0,1860,3861,115,0
"29",438000,3,1.75,1520,6380,1,0,0,3,7,790,730,1520,6235,76,0
"30",719000,4,2.5,2570,7173,2,0,0,3,8,2570,0,2630,6026,19,0
"31",580500,3,2.5,2320,3980,2,0,0,3,8,2320,0,2580,3980,21,0
"32",280000,2,1.5,1190,1265,3,0,0,3,7,1190,0,1390,1756,19,0
"33",687500,4,1.75,2330,5000,1.5,0,0,4,7,1510,820,1460,5000,95,0
"34",535000,3,1,1090,3000,1.5,0,0,4,8,1090,0,1570,5080,95,0
"35",322500,4,2.75,2060,6659,1,0,0,3,7,1280,780,2020,8720,43,0
"36",696000,3,2.5,2300,3060,1.5,0,0,3,8,1510,790,1590,3264,94,1
"37",550000,4,1,1660,34848,1,0,0,1,5,930,730,2160,11467,91,0
"38",640000,4,2,2360,6000,2,0,0,4,8,2360,0,1730,4700,120,0
"39",240000,4,1,1220,8075,1,0,0,2,7,890,330,1290,7800,55,0
"40",605000,4,2.5,2620,7553,2,0,0,3,8,2620,0,2620,11884,28,0
"41",625000,4,2.5,2570,5520,2,0,0,3,9,2570,0,2470,5669,24,0
"42",775000,4,2.25,4220,24186,1,0,0,3,8,2600,1620,2410,30617,40,0
"43",861990,5,2.75,3595,5639,2,0,0,3,9,3595,0,3625,5639,10,0
"44",685000,3,1,1570,2280,2,0,0,3,7,1570,0,1580,2640,102,0
"45",309000,3,1,1280,9656,1,0,0,4,6,920,360,1340,8808,65,0
"46",488000,3,2.5,3160,13603,2,0,0,3,8,3160,0,3050,9232,21,0
"47",210490,3,1,990,8528,1,0,0,3,6,990,0,1228,8840,58,0
"48",785000,4,2.5,2290,13416,2,0,0,4,9,2290,0,2680,13685,43,0
"49",450000,3,1.75,1250,5963,1,0,0,4,7,1250,0,970,5100,71,0
"50",1350000,3,2.5,2753,65005,1,1,2,5,9,2165,588,2680,72513,71,0
"51",228000,3,1,1190,9199,1,0,0,3,7,1190,0,1190,9364,69,0
"52",345000,5,2.5,3150,9134,1,0,0,4,8,1640,1510,1990,9133,58,0
"53",6e+05,3,1.75,1410,4080,1,0,0,4,7,1000,410,1410,4080,74,0
"54",585000,2,1.75,1980,8550,1,0,0,3,7,990,990,1480,6738,43,0
"55",920000,5,2.25,2730,6000,1.5,0,0,3,8,2130,600,2730,6000,97,0
"56",885000,4,2.5,2830,5000,2,0,0,3,9,2830,0,1950,5000,29,0
"57",292500,4,2.5,2250,4495,2,0,0,3,7,2250,0,2250,4500,16,0
"58",301000,3,2.5,2420,4750,2,0,0,3,8,2420,0,2690,4750,21,0
"59",951000,5,3.25,3250,14342,2,0,4,4,8,3250,0,2960,11044,56,0
"60",430000,4,3,1850,9976,2,0,0,3,8,1850,0,2270,8542,33,0
"61",650000,3,2.25,2150,21235,1,0,3,4,8,1590,560,2570,18900,65,0
"62",289000,3,1.75,1260,8400,1,0,0,3,7,1260,0,1290,8750,70,0
"63",505000,3,1.75,2519,8690,2,0,0,5,8,2519,0,2500,9500,51,0
"64",549000,3,1.75,1540,1044,3,0,0,3,8,1540,0,1580,3090,10,0
"65",425000,3,2.25,1660,6000,1,0,0,3,7,1110,550,1440,4080,45,0
